id,original_query,rewritten_query,original_costs,rewrite_costs,costs_reduction_rate,time_cost,llm_costs
1,"select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(l_extendedprice * (1 - l_discount)) as sum_disc_price, sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from lineitem where l_shipdate <= date '1998-12-01' - interval '93' day group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;","select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(disc_price) as sum_disc_price, sum(disc_price * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from ( select l_returnflag, l_linestatus, l_quantity, l_extendedprice, l_discount, l_tax, l_extendedprice * (1 - l_discount) as disc_price from lineitem where l_shipdate <= date '1998-08-30' ) as base group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;",,,,155.16459918022156,0.5571347
2,"select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(l_extendedprice * (1 - l_discount)) as sum_disc_price, sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from lineitem where l_shipdate <= date '1998-12-01' - interval '67' day group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;","select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(l_extendedprice * (1 - l_discount)) as sum_disc_price, sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from lineitem where l_shipdate <= date '1998-09-25' group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;",,,,107.7124617099762,0.43104325
3,"select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(l_extendedprice * (1 - l_discount)) as sum_disc_price, sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from lineitem where l_shipdate <= date '1998-12-01' - interval '91' day group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;","select l_returnflag, l_linestatus, sum(l_quantity) as sum_qty, sum(l_extendedprice) as sum_base_price, sum(l_extendedprice * (1 - l_discount)) as sum_disc_price, sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge, avg(l_quantity) as avg_qty, avg(l_extendedprice) as avg_price, avg(l_discount) as avg_disc, count(*) as count_order from lineitem where l_shipdate <= date '1998-09-01' group by l_returnflag, l_linestatus order by l_returnflag, l_linestatus;",,,,79.09209299087524,0.37939944999999997
4,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 6 and p_type like '%NICKEL' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'EUROPE' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'EUROPE' ) order by s_acctbal desc, n_name, s_name, p_partkey limit 100;","WITH filtered_parts AS ( SELECT p_partkey, p_mfgr FROM part WHERE p_size = 6 AND p_type LIKE '%NICKEL' ), europe_min_costs AS ( SELECT ps_partkey, MIN(ps_supplycost) AS min_supplycost FROM partsupp JOIN supplier ON supplier.s_suppkey = partsupp.ps_suppkey JOIN nation ON nation.n_nationkey = supplier.s_nationkey JOIN region ON region.r_regionkey = nation.n_regionkey JOIN filtered_parts ON filtered_parts.p_partkey = ps_partkey WHERE region.r_name = 'EUROPE' GROUP BY ps_partkey ) SELECT s_acctbal, s_name, n_name, p.p_partkey, p.p_mfgr, s_address, s_phone, s_comment FROM filtered_parts p JOIN partsupp ps ON p.p_partkey = ps.ps_partkey JOIN supplier s ON s.s_suppkey = ps.ps_suppkey JOIN nation n ON n.n_nationkey = s.s_nationkey JOIN region r ON r.r_regionkey = n.n_regionkey JOIN europe_min_costs emc ON p.p_partkey = emc.ps_partkey AND ps.ps_supplycost = emc.min_supplycost WHERE r.r_name = 'EUROPE' ORDER BY s_acctbal DESC, n_name, s_name, p.p_partkey LIMIT 100;",,,,131.77588295936584,0.8746718500000001
5,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 46 and p_type like '%NICKEL' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'ASIA' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'ASIA' ) order by s_acctbal desc, n_name, s_name, p_partkey limit 100;","WITH filtered_parts AS ( SELECT p_partkey, p_mfgr, p_type, p_size FROM part WHERE p_size = 46 AND p_type LIKE '%NICKEL' ), min_supply_costs AS ( SELECT fp.p_partkey, MIN(ps_supplycost) AS min_cost FROM filtered_parts fp JOIN partsupp ON fp.p_partkey = ps_partkey JOIN supplier ON s_suppkey = ps_suppkey JOIN nation ON s_nationkey = n_nationkey JOIN region ON n_regionkey = r_regionkey WHERE r_name = 'ASIA' GROUP BY fp.p_partkey ) SELECT s_acctbal, s_name, n_name, fp.p_partkey, fp.p_mfgr, s_address, s_phone, s_comment FROM filtered_parts fp JOIN partsupp ON fp.p_partkey = ps_partkey JOIN supplier ON s_suppkey = ps_suppkey JOIN nation ON s_nationkey = n_nationkey JOIN region ON n_regionkey = r_regionkey JOIN min_supply_costs msc ON fp.p_partkey = msc.p_partkey WHERE r_name = 'ASIA' AND ps_supplycost = msc.min_cost ORDER BY s_acctbal DESC, n_name, s_name, fp.p_partkey LIMIT 100;",,,,165.23831415176392,0.9519681000000001
6,"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 3 and p_type like '%NICKEL' and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AMERICA' and ps_supplycost = ( select min(ps_supplycost) from partsupp, supplier, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'AMERICA' ) order by s_acctbal desc, n_name, s_name, p_partkey limit 100;","WITH filtered_part AS ( SELECT p_partkey, p_mfgr FROM part WHERE p_size = 3 AND p_type LIKE '%NICKEL' ), min_supply_cost AS ( SELECT partsupp.ps_partkey, MIN(partsupp.ps_supplycost) AS min_cost FROM partsupp JOIN filtered_part ON partsupp.ps_partkey = filtered_part.p_partkey JOIN supplier ON supplier.s_suppkey = partsupp.ps_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey WHERE region.r_name = 'AMERICA' GROUP BY partsupp.ps_partkey ) SELECT s_acctbal, s_name, n_name, fp.p_partkey, fp.p_mfgr, s_address, s_phone, s_comment FROM filtered_part fp JOIN partsupp ON fp.p_partkey = partsupp.ps_partkey JOIN supplier ON supplier.s_suppkey = partsupp.ps_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey JOIN min_supply_cost msc ON fp.p_partkey = msc.ps_partkey AND partsupp.ps_supplycost = msc.min_cost WHERE region.r_name = 'AMERICA' ORDER BY s_acctbal DESC, n_name, s_name, fp.p_partkey LIMIT 100;",,,,240.91315841674805,1.1999612000000002
7,"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'MACHINERY' and c_custkey = o_custkey and l_orderkey = o_orderkey and o_orderdate < date '1995-03-20' and l_shipdate > date '1995-03-20' group by l_orderkey, o_orderdate, o_shippriority order by revenue desc, o_orderdate limit 10;","WITH filtered_customers AS ( SELECT c_custkey FROM customer WHERE c_mktsegment = 'MACHINERY' ), filtered_orders AS ( SELECT o_orderkey, o_custkey, o_orderdate, o_shippriority FROM orders WHERE o_orderdate < DATE '1995-03-20' ), customer_orders AS ( SELECT o_orderkey, o_orderdate, o_shippriority FROM filtered_orders o JOIN filtered_customers c ON o.o_custkey = c.c_custkey ) SELECT l.l_orderkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue, co.o_orderdate, co.o_shippriority FROM lineitem l JOIN customer_orders co ON l.l_orderkey = co.o_orderkey WHERE l.l_shipdate > DATE '1995-03-20' GROUP BY l.l_orderkey, co.o_orderdate, co.o_shippriority ORDER BY revenue DESC, co.o_orderdate LIMIT 10;",,,,85.18809795379639,0.45058869999999995
8,"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'MACHINERY' and c_custkey = o_custkey and l_orderkey = o_orderkey and o_orderdate < date '1995-03-14' and l_shipdate > date '1995-03-14' group by l_orderkey, o_orderdate, o_shippriority order by revenue desc, o_orderdate limit 10;","SELECT l.l_orderkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue, o.o_orderdate, o.o_shippriority FROM customer c JOIN orders o ON c.c_custkey = o.o_custkey JOIN lineitem l ON o.o_orderkey = l.l_orderkey WHERE c.c_mktsegment = 'MACHINERY' AND o.o_orderdate < DATE '1995-03-14' AND l.l_shipdate > DATE '1995-03-14' GROUP BY l.l_orderkey, o.o_orderdate, o.o_shippriority ORDER BY revenue DESC, o.o_orderdate LIMIT 10;",,,,71.04003167152405,0.39163814999999996
9,"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey and l_orderkey = o_orderkey and o_orderdate < date '1995-03-08' and l_shipdate > date '1995-03-08' group by l_orderkey, o_orderdate, o_shippriority order by revenue desc, o_orderdate limit 10;","SELECT l_orderkey, rev.revenue, o.o_orderdate, o.o_shippriority FROM customer c JOIN orders o ON c.c_custkey = o.o_custkey JOIN ( SELECT l_orderkey, SUM(l_extendedprice * (1 - l_discount)) AS revenue FROM lineitem WHERE l_shipdate > DATE '1995-03-08' GROUP BY l_orderkey ) rev ON rev.l_orderkey = o.o_orderkey WHERE c.c_mktsegment = 'BUILDING' AND o.o_orderdate < DATE '1995-03-08' ORDER BY revenue DESC, o.o_orderdate LIMIT 10;",,,,255.458393573761,0.7442836
10,"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1996-01-01' and o_orderdate < date '1996-01-01' + interval '3' month and exists ( select * from lineitem where l_orderkey = o_orderkey and l_commitdate < l_receiptdate ) group by o_orderpriority order by o_orderpriority;","SELECT o_orderpriority, COUNT(*) AS order_count FROM orders JOIN ( SELECT l_orderkey FROM lineitem WHERE l_commitdate < l_receiptdate GROUP BY l_orderkey ) AS bad_lineitems ON orders.o_orderkey = bad_lineitems.l_orderkey WHERE o_orderdate >= DATE '1996-01-01' AND o_orderdate < DATE '1996-01-01' + INTERVAL '3' MONTH GROUP BY o_orderpriority ORDER BY o_orderpriority;",,,,130.79382514953613,0.568226
